Latitude,Longitude
40.658275,-73.94824
40.587522,-73.935416
40.648175,-74.00075
40.669544,-73.867318
40.61482,-74.029762
40.625873,-73.922972
40.613787,-73.980176
40.719969,-73.941017
40.660454,-73.926321
40.659152,-73.877402
40.655755,-73.865756
40.630106,-74.004103
40.659152,-73.877402
40.686978,-73.948452
40.669544,-73.867318
40.790877,-73.971358
40.854639,-73.927096
40.713111,-73.997868
40.708138,-74.004949
40.771099,-73.988274
40.795892,-73.971533
40.806197,-73.945206
40.797495,-73.932356
40.809371,-73.940808
40.817236,-73.943673
40.826809,-73.944037
40.763024,-73.949577
40.834467,-73.889871
40.814153,-73.955131
40.829367,-73.948935
40.835602,-73.844303
